player,GP,MIN per game,AST per game,"Passes 
per game",Total AST,"FT Assists 
per game","Secondary Assists 
per game","Assist opportunities 
per game","Points created by 
assist per game","Points Created by 
AST Per 48 Min"
Darius Morris,10,5.5,0.5,8.8,5,0.1,0.2,1.2,1.5,13.2
Darius Morris,12,16.2,2.6,26.6,31,0.2,0.4,4.7,5.7,16.8
Darius Morris,27,11.7,1.6,19.1,44,0.1,0.3,3.1,3.7,15.1
Darrell Arthur,68,17.2,0.9,17,61,0.2,0.2,1.6,2.2,6
Darren Collison,80,26.1,3.7,41.6,297,0.3,0.9,7.5,8.7,16.1
David Lee,68,33.3,2.1,34.1,144,0.2,0.6,3.8,5.1,7.4
David West,80,31,2.8,46.1,223,0.5,0.7,5.7,6.8,10.6
DeAndre Jordan,82,35.3,0.9,40,74,0.1,0.9,1.5,2.1,2.9
DeAndre Liggins,1,1.4,0,1,0,0,0,1,0,0
DeJuan Blair,78,15.6,0.9,14.7,70,0.1,0.1,1.5,2.2,6.7
DeMar DeRozan,78,38.4,3.9,35.4,308,0.3,0.8,8.3,10.1,12.6
DeMarcus Cousins,70,32.8,2.9,40.3,205,0.2,0.4,5.8,6.8,10
DeMarre Carroll,73,32.3,1.8,35,134,0.2,0.7,3.5,4.5,6.6
Dennis Schroder,48,13,1.9,24.2,91,0.1,0.5,4,4.4,16.2
Derek Fisher,81,17.8,1.4,20.2,117,0.2,0.6,3,3.3,8.8
Deron Williams,64,32.3,6.1,61.3,392,0.9,1.8,12.7,15.1,22.5
Derrick Favors,73,30.3,1.2,40.9,91,0.1,0.4,2.9,3,4.8
Derrick Rose,10,30.9,4.3,61.3,43,0.5,1.7,10.5,9.9,15.4
Derrick Williams,11,14.8,0.1,13.5,1,0.1,0.1,0.7,0.4,1.2
Derrick Williams,66,24.9,0.8,21.8,55,0.1,0.3,1.8,1.9,3.7
Derrick Williams,77,23.5,0.7,20.6,56,0.1,0.2,1.6,1.7,3.5
Devin Harris,40,20.5,4.5,38.8,178,0.4,0.9,7.8,10.7,25
Dewayne Dedmon,4,1.4,0,1.5,0,0,0,0,0,0
Dewayne Dedmon,11,13.8,0.3,17.2,3,0.2,0.3,0.6,0.7,2.5
Dewayne Dedmon,16,14.7,0.1,16.2,2,0,0.1,0.4,0.3,1
Dewayne Dedmon,31,12.7,0.2,14.6,5,0.1,0.1,0.4,0.4,1.6
Dexter Pittman,2,1.5,0,0.5,0,0,0,0,0,0
Diante Garrett,71,14.8,1.7,27,120,0.3,0.3,3.9,4.1,13.2
Dion Waiters,70,29.9,3,28.4,209,0.3,0.7,5.8,7.2,11.6
Dionte Christmas,31,6.5,0.3,6.5,8,0,0.1,0.8,0.6,4.8
Dirk Nowitzki,80,33,2.7,42,216,0.3,0.6,5.3,6.4,9.3
DJ Stephens,3,4.9,0,4.7,0,0,0,0.3,0,0
DJ White,2,5.2,0,7.5,0,0,0,0,0,0
Donald Sloan,48,8.2,1,13.1,50,0.1,0.2,2.3,2.6,15
Donatas Motiejunas,62,15.5,0.5,19.8,34,0.1,0.2,1.5,1.6,5
Dorell Wright,68,14.6,0.9,15.1,64,0.1,0.1,1.9,2.3,7.6
Doron Lamb,53,13.2,0.8,10.6,43,0.1,0.2,1.4,2,7.3
Draymond Green,81,22.1,1.8,28.5,148,0.2,0.4,3.6,4.4,9.6
Drew Gooden,21,17.9,0.7,24.5,15,0.1,0.4,2,1.7,4.5
Dwight Buycks,14,10.5,0.7,15.5,10,0,0.3,1.8,1.8,8.2
